geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
deu,Germany,1.44953,1.43559,1.39114,1.35665,1.36073,1.32461,1.29152,1.26128,1.23366,1.20861,1.18594,1.10037,0.98949,1.131,1.14932,1.03948,1.02564,0.79826,0.62062,0.52737,0.67256,0.55731,0.48081,0.44266,0.3993,0.39572,0.36884,0.32837,0.2693,0.3555,0.36447,0.31041,0.29665
dji,Djibouti,2.67963,2.67618,2.68063,2.67525,2.67969,2.68224,2.68424,2.68386,2.6669,2.64522,2.61216,2.57286,2.52431,2.46518,2.40353,2.32598,2.25397,2.17574,2.09035,2.00988,1.9238,1.83127,1.74947,1.65865,1.57079,1.47738,1.38931,1.30423,1.21998,1.2381,1.15687,1.11597,1.06309
dnk,Denmark,1.79818,1.89759,1.77746,1.43294,1.17312,0.98391,1.12595,1.25976,1.01617,0.94254,0.85761,0.8294,0.72393,0.85686,0.79395,0.69004,0.58694,0.4742,0.47905,0.32368,0.27264,0.27904,0.19877,0.2141,0.31527,0.42645,0.38523,0.40398,0.38319,0.39694,0.35916,0.28582,0.34183
dom,Dominican Republic,5.45202,5.25851,5.35808,4.56193,4.23587,3.53845,2.91676,2.41021,1.99041,1.64399,1.3964,1.31913,1.2986,1.39869,2.72029,2.2446,2.32129,3.29932,1.79574,1.92985,1.81997,1.62996,1.553,1.51385,2.24243,2.0391,1.87538,1.80423,1.55187,1.42057,1.69201,1.45429,1.25281
dza,Algeria,10.84073,10.83252,10.75489,10.61388,10.44823,10.24303,9.99217,9.78095,9.41006,8.90891,8.55352,7.89525,7.25851,6.15551,5.19288,4.42931,3.81308,3.28992,2.87428,2.46798,2.10439,2.12631,2.14127,2.08615,2.04682,1.98491,1.92716,1.84542,1.79187,1.91645,1.79162,1.72769,1.68324
ecu,Ecuador,10.89831,11.28006,10.88079,11.04541,11.74415,11.31987,9.84295,12.17631,12.33845,12.43936,12.59057,10.52112,8.73103,11.52434,9.76624,11.7026,10.47128,10.507,10.63642,9.35319,9.10241,9.80558,9.45165,8.1982,10.00696,11.92439,12.63478,12.61294,13.07858,14.59644,15.31675,14.02422,12.23845
egy,Egypt,15.04102,14.64173,14.22606,13.80672,13.23598,13.05408,12.84294,12.14307,11.36351,11.52111,9.29622,10.43783,12.17478,13.96882,12.97656,13.12991,14.06706,14.12581,13.22257,10.88931,10.92653,9.77476,11.42512,11.82537,12.64545,7.74862,8.74156,7.30344,6.41489,5.21231,5.19072,4.45088,4.27292
eri,Eritrea,28.97222,28.82219,28.58498,28.25915,27.93487,27.61789,27.33722,26.85511,26.40781,25.86175,25.46918,25.02203,24.55949,24.22343,24.16105,23.7768,23.44615,23.31698,22.81704,22.71737,22.28832,21.80536,21.52671,20.90905,20.57011,20.16356,19.8767,19.45884,19.01359,18.95879,18.10377,17.64483,17.35822
esp,Spain,4.99435,4.47858,4.45044,4.11847,3.64893,3.40487,2.96697,2.74334,2.36571,2.09011,1.88249,1.74747,1.6167,1.43007,1.59864,1.34582,1.08201,0.9805,0.81068,0.79483,0.68388,0.62127,0.60079,0.6049,0.52969,0.42319,0.49595,0.37714,0.37331,0.36308,0.38067,0.33261,0.29903
est,Estonia,1.71086,2.12763,2.80441,2.02289,1.40354,1.50513,1.54062,0.90103,0.78736,0.43387,0.52232,0.37064,0.19955,0.45824,0.22076,0.1724,0.2197,0.14361,0.18318,0.18284,0.2626,0.30098,0.25913,0.21081,0.12368,0.10085,0.23072,0.14261,0.0501,0.08792,0.19722,0.13403,0.13576
eth,Ethiopia,40.76222,40.67835,40.45206,40.11874,39.85976,39.51007,39.26784,38.90014,38.26858,39.03217,39.7343,40.34035,41.09933,42.00895,42.76296,42.47051,42.13436,41.81886,41.55423,40.98919,40.5053,40.38797,40.02739,38.87176,37.69205,36.59031,35.32454,34.17173,33.0439,32.58929,30.73589,30.11251,29.5796
fin,Finland,1.3108,1.27503,1.31005,1.27142,1.5107,1.51369,1.02327,0.57039,0.8055,0.66747,0.63986,0.51801,0.4104,0.42133,0.55906,0.63277,0.5514,0.45512,0.61242,0.72252,0.56743,0.53951,0.44131,0.49049,0.60665,0.3712,0.4499,0.51373,0.32946,0.35551,0.67785,1.22817,0.7179
